Guatemala,GTM,19.7
Guam,GUM,65.4
Guyana,GUY,33
High income,HIC,78.20518997
"Hong Kong SAR, China",HKG,74.2
Honduras,HND,17.8
Heavily indebted poor countries (HIPC),HPC,7.198667372
Croatia,HRV,66.7476
Haiti,HTI,10.6
Hungary,HUN,72.6439
Indonesia,IDN,15.82
Isle of Man,IMN,
India,IND,15.1
Not classified,INX,
Ireland,IRL,78.2477
"Iran, Islamic Rep.",IRN,31.4
Iraq,IRQ,9.2
Iceland,ISL,96.5468
Israel,ISR,70.8
Italy,ITA,58.4593
Jamaica,JAM,37.8
Jordan,JOR,44.2
Japan,JPN,86.25
Kazakhstan,KAZ,54
Kenya,KEN,39
Kyrgyz Republic,KGZ,23.4
Cambodia,KHM,6
Kiribati,KIR,11.5
St. Kitts and Nevis,KNA,80
"Korea, Rep.",KOR,84.77
Kosovo,KSV,
Kuwait,KWT,75.46
Latin America & Caribbean (developing only),LAC,45.8126343
Lao PDR,LAO,12.5
Lebanon,LBN,70.5
Liberia,LBR,4.6
Libya,LBY,16.5
St. Lucia,LCA,35.2
Latin America & Caribbean (all income levels),LCN,46.72404521
Latin America and the Caribbean,LCR,
Least developed countries: UN classification,LDC,6.999504901
Low income,LIC,7.131597032
Liechtenstein,LIE,93.8
Sri Lanka,LKA,21.9
Lower middle income,LMC,21.19507819
Low & middle income,LMY,29.1094343
Lesotho,LSO,5
Lithuania,LTU,68.4529
Luxembourg,LUX,93.7765
Latvia,LVA,75.2344
"Macao SAR, China",MAC,65.8
St. Martin (French part),MAF,
Morocco,MAR,56
Mexico and Central America,MCA,
Monaco,MCO,90.7
Moldova,MDA,48.8
Madagascar,MDG,2.2
Maldives,MDV,44.1
Middle East & North Africa (all income levels),MEA,39.10947566
Mexico,MEX,43.46
Marshall Islands,MHL,11.7
Middle income,MIC,32.73898517
"Macedonia, FYR",MKD,61.2
Mali,MLI,2.3
Malta,MLT,68.9138
Myanmar,MMR,1.2
Middle East & North Africa (developing only),MNA,34.13902752
Montenegro,MNE,56.8
Mongolia,MNG,17.7
Northern Mariana Islands,MNP,
Mozambique,MOZ,5.4
Mauritania,MRT,6.2
Mauritius,MUS,39
Malawi,MWI,5.4
Malaysia,MYS,66.97
North America,NAC,84.36047388
Namibia,NAM,13.9
New Caledonia,NCL,66
Niger,NER,1.7
Nigeria,NGA,38
Nicaragua,NIC,15.5
Netherlands,NLD,93.9564
High income: nonOECD,NOC,65.68418974
Norway,NOR,95.0534
Nepal,NPL,13.3
New Zealand,NZL,82.78
High income: OECD,OEC,81.17185161
OECD members,OED,75.39000965
Oman,OMN,66.45
Other small states,OSS,16.21515745
Pakistan,PAK,10.9
Panama,PAN,42.9
Peru,PER,39.2
Philippines,PHL,37
Palau,PLW,
Papua New Guinea,PNG,6.5
Poland,POL,62.8492
Puerto Rico,PRI,73.9
"Korea, Dem. Rep.",PRK,
Portugal,PRT,62.0956
Paraguay,PRY,36.9
Pacific island small states,PSS,22.87107377
French Polynesia,PYF,56.8
Qatar,QAT,85.3
Romania,ROU,49.7645
Russian Federation,RUS,61.4
Rwanda,RWA,8.7
South Asia,SAS,13.73782817
Saudi Arabia,SAU,60.5
Southern Cone Extended,SCE,
Sudan,SDN,22.7
Senegal,SEN,20.9
Singapore,SGP,73
Solomon Islands,SLB,8
Sierra Leone,SLE,1.7
El Salvador,SLV,23.1093
San Marino,SMR,50.8
Somalia,SOM,1.5
Serbia,SRB,51.5
Sub-Saharan Africa (developing only),SSA,16.91981021
South Sudan,SSD,
Sub-Saharan Africa (all income levels),SSF,16.91938495
Small states,SST,23.91800457
Sao Tome and Principe,STP,23
Suriname,SUR,37.4
Slovak Republic,SVK,77.8826
Slovenia,SVN,72.6756
Sweden,SWE,94.7836
Swaziland,SWZ,24.7
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,50.4
Syrian Arab Republic,SYR,26.2
Turks and Caicos Islands,TCA,
Chad,TCD,2.3
Togo,TGO,4.5
Thailand,THA,28.94
Tajikistan,TJK,16
Turkmenistan,TKM,9.6
Timor-Leste,TLS,1.1
Tonga,TON,35
Trinidad and Tobago,TTO,63.8
Tunisia,TUN,43.8
Turkey,TUR,46.25
Tuvalu,TUV,37
Tanzania,TZA,4.4
Uganda,UGA,16.2
Ukraine,UKR,41.8
Upper middle income,UMC,44.79270153
Uruguay,URY,58.1
United States,USA,84.2
Uzbekistan,UZB,38.2
St. Vincent and the Grenadines,VCT,52
"Venezuela, RB",VEN,54.9
Virgin Islands (U.S.),VIR,45.3
Vietnam,VNM,43.9
Vanuatu,VUT,11.3
West Bank and Gaza,PSE,46.6
World,WLD,38.13233855
Samoa,WSM,15.3
"Yemen, Rep.",YEM,20
South Africa,ZAF,48.9
"Congo, Dem. Rep.",COD,2.2
Zambia,ZMB,15.4
Zimbabwe,ZWE,18.5
